userid,user_profile_description,follower_count,following_count,account_creation_date,account_language,ratio_follower_to_following,descr_len,days_since_creation,avg_tweet_len,avg_hashtag_num,avg_hashtag_char_num,avg_mentions_num,avg_urls_num,tweet_url_ratio,retweet_rate,retweet_url_rate,tweet_std,avg_tweets_per_day
490515747,,0, 5,12/02/2012,en, 0.0,0,2515, 81.66667,0.0,0, 1.0,0.0,0.0, 0.0,0.0,0.5,1.5
1029412344684797952,“We must admit there will be music despite everything.” || Jack Gilbert,77, 109,14/08/2018,en, 0.70642,71,140, 66.72,0.04,6.0, 1.16,0.04,0.04, 0.28,0.0,0.49943,1.19048
490525200,Argujillo 🔄 Salamanca Ingeniería Química en la USAL 📚,63, 128,12/02/2012,en, 0.49219,91,2515, 115.47619,0.2619,11.45455, 1.07143,0.30952,0.30952, 0.95238,0.30952,1.01036,1.75
490526610,,1, 6,12/02/2012,en, 0.16667,0,2515, 61.375,0.0,0, 0.375,0.125,0.125, 0.0,0.0,0.0,8.0
490546219,笑ってしゃべって飲むのが大好き♪ぐぅでする☆,29, 69,12/02/2012,en, 0.42029,22,2515, 32.005,0.05,6.5, 0.27,0.0,0.0, 0.025,0.0,0.82419,1.48148
490547766,,2, 17,12/02/2012,en, 0.11765,0,2515, 45.0,0.0,0, 0.0,1.0,1.0, 0.0,0.0,0.0,1.0
490550573,,3, 22,12/02/2012,en, 0.13636,0,2515, 91.68254,0.00794,10.0, 0.55556,0.95238,0.94444, 0.23016,0.19048,2.02294,2.47059
490550790,Ik ben 14 jaar // Fiàbeau en Clayton :-) //,83, 233,12/02/2012,en, 0.35622,43,2515, 33.12329,0.08904,5.07692, 0.31507,0.07534,0.07534, 0.0274,0.00685,2.73615,2.31746
490553071,,6, 12,12/02/2012,en, 0.5,0,2515, 24.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
490556459,,2, 6,12/02/2012,en, 0.33333,0,2515, 30.0,0.0,0, 1.0,0.0,0.0, 0.0,0.0,0.0,1.0
490560178,,0, 12,12/02/2012,en, 0.0,0,2515, 47.0,0.25,3.0, 0.25,0.0,0.0, 0.25,0.0,0.4714,1.33333
490560515,,37, 238,12/02/2012,en, 0.15546,0,2515, 68.55147,0.16912,9.6087, 0.66176,0.10294,0.09559, 0.25,0.04412,1.35594,1.83784
490560860,,1, 138,12/02/2012,en, 0.00725,0,2515, 104.83333,0.16667,3.0, 0.83333,0.83333,0.66667, 0.33333,0.16667,0.0,1.0
490566674,,4, 30,12/02/2012,en, 0.13333,0,2515, 67.0,0.0,0, 1.0,0.0,0.0, 0.0,0.0,0.0,1.0
490570733,Hi. I'm based in the north where I work from home to help people feel better about themselves.,14, 10,12/02/2012,en, 1.4,94,2515, 96.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
490578598,,0, 0,12/02/2012,en, 0,0,2515, 104.5,0.0,0, 0.0,1.0,1.0, 0.0,0.0,0.0,1.0
490604311,,0, 0,12/02/2012,en, 0,0,2515, 54.17,0.0,0, 0.01,0.98,0.98, 0.01,0.005,32.52691,40.0
490605818,blerg..,28, 172,12/02/2012,en, 0.16279,7,2515, 59.98795,0.46988,9.94872, 0.37349,0.06024,0.06024, 0.12048,0.01205,0.91184,1.43103
490615164,,6, 45,12/02/2012,en, 0.13333,0,2515, 31.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
490616234,Project manager: marketing branding publishing.,37, 202,12/02/2012,en, 0.18317,49,2515, 123.0,0.5,10.66667, 1.16667,0.5,0.5, 0.83333,0.33333,0.8165,2.0
490620564,,1, 14,12/02/2012,en, 0.07143,0,2515, 80.33333,0.0,0, 0.66667,0.0,0.0, 0.0,0.0,0.5,1.5
490633925,Lic. en Obstetricia técnica Óptica. Manager Centro Óptico CDE. Organizadora de Eventos. Dulce Hogar Cotillón.Globologia/Globoflexia. Lectora apasionada☆☆☆☆☆,67, 77,12/02/2012,en, 0.87013,160,2515, 30.54,0.005,9.0, 0.0,0.985,0.98, 0.0,0.0,1.83243,2.35294
490634839,,2, 33,12/02/2012,en, 0.06061,0,2515, 81.5,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
490636702,YOU ARE WHAT YOU THINK! DONT LET FEAR GET IN YOUR WAY,104, 349,12/02/2012,en, 0.29799,53,2515, 63.86528,0.07254,7.57143, 0.55959,0.11399,0.11399, 0.2228,0.01554,2.86732,2.92424
490644548,,1, 21,12/02/2012,en, 0.04762,0,2515, 62.5,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
490645604,,20, 49,12/02/2012,en, 0.40816,0,2515, 97.83333,0.19444,7.57143, 0.16667,0.44444,0.44444, 0.08333,0.02778,0.69742,1.44
490656930,,39, 916,12/02/2012,en, 0.04258,0,2515, 106.24444,0.21111,7.89474, 1.05556,0.24444,0.24444, 0.18889,0.01111,2.66118,1.76471
490657801,,3, 0,12/02/2012,en, 0,0,2515, 61.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
490664703,,3, 1,12/02/2012,en, 3.0,0,2515, 77.0,0.0,0, 0.5,0.0,0.0, 0.0,0.0,0.0,2.0
490681208,,16, 112,12/02/2012,en, 0.14286,0,2515, 135.0,0.0,0, 1.0,0.0,0.0, 1.0,0.0,0.0,1.0
490728410,,13, 115,12/02/2012,en, 0.11304,0,2515, 77.53846,0.23077,13.0, 0.76923,0.0,0.0, 0.15385,0.0,1.06719,2.16667
490753931,,0, 0,12/02/2012,en, 0,0,2515, 49.0,0.0,0, 0.2,0.2,0.2, 0.0,0.0,0.43301,1.25
490756471,,5, 54,12/02/2012,en, 0.09259,0,2515, 45.05556,0.0,0, 0.72222,0.0,0.0, 0.05556,0.0,1.41421,6.0
490759774,Jesus. Music. Friends. Never give up on life if it seems too tough. Just have fun and live life to the fullest. I'm still a California Girl ☀,52, 96,12/02/2012,en, 0.54167,141,2515, 91.43939,0.32828,9.47692, 0.0101,0.97475,0.97475, 0.0,0.0,0.70369,1.44526
490768134,...Your Everything Store. Students at Cardinal Ambrozic Genuine Goods presents you a new brand of clothes accessories shoes etc. more info coming soon,5, 0,12/02/2012,en, 0,156,2515, 84.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
490769616,Black Luda RuneScape RS Rs3,11, 26,12/02/2012,en, 0.42308,30,2515, 102.0,0.18182,7.25, 0.72727,0.31818,0.31818, 0.09091,0.0,0.57032,1.29412
490781670,Some of the most interesting great Hotel deals and updates across Twitter in Johannesburg. Discover the best hotel service in the world (see link below). Enjoy,43, 23,12/02/2012,en, 1.86957,159,2515, 113.35,0.18,8.52778, 0.975,0.415,0.41, 1.0,0.41,2.85687,6.89655
490794338,,28, 63,12/02/2012,en, 0.44444,0,2515, 59.05357,0.03571,10.0, 0.16071,0.17857,0.17857, 0.10714,0.0,1.68,2.24
490807170,,1, 7,12/02/2012,en, 0.14286,0,2515, 92.33333,0.91667,16.09091, 0.0,0.91667,0.91667, 0.0,0.0,0.4,1.2
490816389,,57, 681,12/02/2012,en, 0.0837,0,2515, 68.8,0.1,7.0, 0.7,0.1,0.1, 0.1,0.0,0.0,1.0
490817561,,6, 9,12/02/2012,en, 0.66667,0,2515, 78.33333,0.0,0, 0.33333,0.66667,0.66667, 0.0,0.0,0.0,1.0
490820864,,0, 1,12/02/2012,en, 0.0,0,2515, 12.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
490821778,,1, 6,12/02/2012,en, 0.16667,0,2515, 31.0,0.0,0, 0.0,0.5,0.5, 0.0,0.0,0.0,1.0
490824523,i love you (:,0, 3,12/02/2012,en, 0.0,13,2515, 40.8,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
490835103,,0, 0,12/02/2012,en, 0,0,2515, 54.0,0.0,0, 1.0,0.0,0.0, 0.0,0.0,0.0,1.0
490843436,Hi im Sam from Glasgow. Im into politics i am a socialist. Love Celtic and my dogs benji and cara.,3, 31,12/02/2012,en, 0.09677,100,2515, 61.78947,0.15789,12.66667, 1.21053,0.0,0.0, 0.10526,0.0,2.71293,3.8
