userid,user_profile_description,follower_count,following_count,account_creation_date,account_language,ratio_follower_to_following,descr_len,days_since_creation,avg_tweet_len,avg_hashtag_num,avg_hashtag_char_num,avg_mentions_num,avg_urls_num,tweet_url_ratio,retweet_rate,retweet_url_rate,tweet_std,avg_tweets_per_day
478325190,,1, 3,30/01/2012,en, 0.33333,0,2528, 83.5,0.0,0, 0.5,0.0,0.0, 0.0,0.0,0.0,1.0
478326693,I love animemangaanime song.Take it easy on me if my English skill is ridiculously cheap!,7, 3,30/01/2012,en, 2.33333,91,2528, 18.55556,0.0,0, 0.77778,0.05556,0.05556, 0.0,0.0,1.24722,2.0
478330688,A better future awaits those who stay positive while working through the hard times,29, 96,30/01/2012,en, 0.30208,83,2528, 86.13836,0.04403,10.28571, 0.18239,0.13836,0.13836, 0.13836,0.0,1.1929,1.55882
478341293,Nama Tentacle. Rajin baik hati suka menabung kelas elite no klepto! (•̯͡.•̯͡),54, 47,30/01/2012,en, 1.14894,80,2528, 82.69744,0.11282,10.09091, 1.42051,0.01026,0.01026, 0.04615,0.00513,7.88052,5.0
478343723,zahra cantik n keren....,9, 6,30/01/2012,en, 1.5,24,2528, 5.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
478351292,,0, 6,30/01/2012,en, 0.0,0,2528, 22.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
478365362,,3, 42,30/01/2012,en, 0.07143,0,2528, 13.875,0.0,0, 0.25,0.0,0.0, 0.0,0.0,0.0,8.0
478371279,,3, 87,30/01/2012,en, 0.03448,0,2528, 93.51064,0.03723,14.14286, 1.23404,0.72872,0.72872, 0.0266,0.0,1.36834,2.18605
478376079,Saya byse byse jeR,12, 24,30/01/2012,en, 0.5,18,2528, 48.53846,0.15385,9.66667, 0.33333,0.0,0.0, 0.02564,0.0,1.95876,1.85714
478382745,,1, 2,30/01/2012,en, 0.5,0,2528, 7.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
478415272,@muluadam,21, 672,30/01/2012,en, 0.03125,9,2528, 33.0,0.0,0, 1.0,0.0,0.0, 0.0,0.0,0.0,1.0
478416448,™ percussion ™ @KodokRastaFamz ™ REGGAE ™☺WE ARE RADA SEDENK CREW☺™,476, 1818,30/01/2012,en, 0.26183,67,2528, 82.47115,0.07692,5.0, 0.63462,0.0,0.0, 0.57692,0.0,5.57898,6.5
478416470,,0, 9,30/01/2012,en, 0.0,0,2528, 86.5,0.0,0, 1.0,1.0,1.0, 1.0,1.0,0.0,1.0
478433777,,1, 15,30/01/2012,en, 0.06667,0,2528, 10.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
478445684,,0, 8,30/01/2012,en, 0.0,0,2528, 96.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
478450075,,0, 4,30/01/2012,en, 0.0,0,2528, 41.66667,0.0,0, 0.33333,0.66667,0.66667, 0.33333,0.33333,0.0,1.0
478450608,,2, 0,30/01/2012,en, 0,0,2528, 7.5,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,2.0
478455949,,0, 4,30/01/2012,en, 0.0,0,2528, 19.5,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
478465595,,0, 25,30/01/2012,en, 0.0,0,2528, 39.5,0.0,0, 0.375,0.0,0.0, 0.0625,0.0,1.28062,1.6
478466366,Sulit bagiku bila aku Harus tetapi mudah sekali bagiku bila aku Ingin :)) with ♥ @PsychCORNER Medan,40, 73,30/01/2012,en, 0.54795,100,2528, 121.10606,0.40909,11.0, 0.48485,0.02273,0.02273, 0.06061,0.00758,13.72443,13.2
478468877,,0, 0,30/01/2012,en, 0,0,2528, 2.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
478474961,,4, 17,30/01/2012,en, 0.23529,0,2528, 20.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
478475688,,3, 43,30/01/2012,en, 0.06977,0,2528, 33.54545,0.0,0, 0.63636,0.45455,0.45455, 0.0,0.0,0.4714,3.66667
478478274,,0, 9,30/01/2012,en, 0.0,0,2528, 47.25,0.0,0, 0.5,0.25,0.25, 0.0,0.0,1.0,2.0
478489902,,9, 116,30/01/2012,en, 0.07759,0,2528, 22.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
478518995,,7, 101,30/01/2012,en, 0.06931,0,2528, 44.28571,0.0,0, 0.35714,0.28571,0.28571, 0.07143,0.0,1.08972,1.75
478519611,proviamo a migliorare noi stessiper migliorare il mondo,89, 274,30/01/2012,en, 0.32482,56,2528, 100.24719,0.59551,8.48113, 1.21348,0.05056,0.05056, 0.57303,0.05056,2.09965,2.73846
478527678,Miut löytää Kisapuistosta. :),100, 247,30/01/2012,en, 0.40486,29,2528, 89.31472,1.19289,8.30213, 0.70051,0.15736,0.15736, 0.45685,0.13198,2.65335,2.03093
478568413,,3, 44,30/01/2012,en, 0.06818,0,2528, 128.0,1.0,8.33333, 0.66667,1.0,1.0, 0.0,0.0,0.5,1.5
478582560,,0, 14,30/01/2012,en, 0.0,0,2528, 82.55556,0.0,0, 0.22222,0.0,0.0, 0.0,0.0,0.0,9.0
478588668,,1, 121,30/01/2012,en, 0.00826,0,2528, 55.75,0.01,15.0, 0.005,0.99,0.99, 0.01,0.0,2.36752,3.0303
478600900,,5, 51,30/01/2012,en, 0.09804,0,2528, 74.17925,0.00943,13.0, 0.00943,1.01887,0.99057, 0.0,0.0,2.07514,2.03846
478601204,,0, 1,30/01/2012,en, 0.0,0,2528, 20.0,0.0,0, 0.0,1.0,1.0, 0.0,0.0,0.0,1.0
478609916,,0, 18,30/01/2012,en, 0.0,0,2528, 54.5,0.0,0, 1.0,0.0,0.0, 0.0,0.0,0.0,2.0
478619047,,10, 35,30/01/2012,en, 0.28571,0,2528, 70.31,0.21,9.45238, 0.785,0.01,0.01, 0.03,0.0,1.75613,1.94175
478621927,,1, 8,30/01/2012,en, 0.125,0,2528, 13.0,0.0,0, 0.0,0.0,0.0, 0.0,0.0,0.0,1.0
478631120,,1, 0,30/01/2012,en, 0,0,2528, 67.8,0.0,0, 1.2,0.2,0.2, 0.0,0.0,0.4714,1.66667
